Burka	Bur
właścicielka	właściciel
Flamandka	Flamand
jubilatka	jubilat
kokainistka	kokainista
minorytka	minoryta
gongorystka	gongorysta
hokeistka	hokeista
lęborczanka	lęborczanin
prowincjuszka	prowincjusz
zesłana	zesłany
lionka	liończyk
Cyganka	Cygan
perkusistka	perkusista
adeptka	adept
Sycylijka	Sycylijczyk
badylara	badylarz
czyścioszka	czyścioch
próżniaczka	próżniak
siedemdziesięciolatka	siedemdziesięciolatek
bawolica	bawół
krzyżanowiczanka	krzyżanowiczanin
prozaiczka	prozaik
Arabka	Arab
flirciara	flirciarz
sztokholmka	sztokholmczyk
szybowniczka	szybownik
wykwintnisia	wykwintniś
pijaczka	pijak
wstręciucha	wstręciuch
starościna	starosta
wolbromianka	wolbromianin
hołdowniczka	hołdownik
Panamka	Panamczyk
nowojorczanka	nowojorczyk
bajerantka	bajerant
czerniejewianka	Czerniejewo
prozatorka	prozator
pokrzepicielka	pokrzepiciel
czarodziejka	czarodziej
chrześniaczka	chrześniak
plotkarka	plotkarz
triatlonistka	triatlonista
spadkobierczyni	spadkobierca
aukcjonerka	aukcjoner
Zabużanka	Zabużanin
towarzyszka niedoli	towarzysz niedoli
dyktatorka mody	dyktator mody
Afrykanerka	Afrykaner
Andorka	Andorczyk
esesmanka	esesman
wnioskodawczyni	wnioskodawca
boguszowianka	boguszowianin
rodaczka	rodak
Madagaskarka	Madagaskarczyk
chałupniczka	chałupnik
buchalterka	buchalter
dozymetrystka	dozymetrysta
współautorka	współautor
zakrystianka	zakrystian
kantyniarka	kantyniarz
Indianka	Indianin
łobuziara	łobuziak
strukturalistka	strukturalista
szulerka	szuler
biedaczka	biedak
Latynoska	Latynos
prasowaczka	prasowacz
błażowianka	błażowianin
akupunkturzystka	akupunkturzysta
zbawicielka	zbawiciel
recenzentka	recenzent
zamiataczka	zamiatacz
Greczynka	Grek
rówieśniczka	rówieśnik
degeneratka	degenerat
sercanka	sercanin
pracowniczka	pracownik
rzemieślniczka	rzemieślnik
ilustratorka	ilustrator
montażystka	montażysta
ukochana	ukochany
fizylierka	fizylier
bizneswoman	biznesmen
drobiarka	drobiarz
zygotarianka	zygotarianin
czarnoskóra	czarnoskóry
Czukczyjka	Czukcz
woluntariuszka	woluntariusz
skoczkini	skoczek
