Burka	Bur
biuralistka	biuralista
dyktatorka	dyktator
bezwstydnica	bezwstydnik
monologistka	monologista
wyznawczyni	wyznawca
kocica	kot
plażowiczka	plażowicz
cymbalistka	cymbalista
sługa Boża	Sługa Boży
blagierka	blagier
ekolożka	ekolog
imigrantka	imigrant
bonapartystka	bonapartysta
somnambuliczka	somnambulik
autorka	autor
mleczarka	mleczarz
wygnanka	wygnaniec
kognatka	kognat
żubrzyca	żubr
nihilistka	nihilista
neofilolożka	neofilolog
unihokeistka	unihokeista
konsjerżka	konsjerż
brzydula	brzydal
Kornijka	Kornijczyk
bazylejka	bazylejczyk
pasterka	pasterz
kołchoźnica	kołchoźnik
sadystka	sadysta
folksdojczka	folksdojcz
dróżniczka	dróżnik
forowiczka	forowicz
zajęczyca	zając
samotnica	samotnik
duszniczanka	duszniczanin
głuszyczanka	głuszyczanin
cieciorka	ciecier
narkomanka	narkoman
święta	święty
kangurzyca	kangur
damascenka	damasceńczyk
hetmanka	hetman
kubistka	kubista
Bawarka	Bawarczyk
pokuśnica	pokuśnik
onanistka	onanista
seterka	seter
dorobkiewiczka	dorobkiewicz
burzycielka	burzyciel
beginka	begard
buszczanka	buszczanin
senatorka	senator
didżejka	didżej
apostatka	apostata
urzędniczka	urzędnik
bezbożnica	bezbożnik
policjantka	policjant
płotkarka	płotkarz
pielęgniarka	pielęgniarz
pracownica	pracownik
Angielka	Anglik
grzesznica	grzesznik
masonka	mason
była	były
bajkopisarka	bajkopisarz
biathlonistka	biathlonista
ełczanka	ełczanin
makowianka	makowianin
pływaczka	pływak
nędznica	nędznik
wyjadaczka	wyjadacz
Tunguzka	Tunguz
przyrodniczka	przyrodnik
narratorka	narrator
florystka	florysta
etnografka	etnograf
Kresowianka	Kresowianin
konsultantka	konsultant
rozpustnica	rozpustnik
karogniada	karogniady
komańczanka	komańczanin
konspiratorka	konspirator
ministerka	minister
bochnianka	bochnianin
waluciara	waluciarz
windykatorka	windykator
posłusznica	posłusznik
diabetyczka	diabetyk
bilardzistka	bilardzista
bytowianka	bytowianin
palaczka	palacz
suchotniczka	suchotnik
skarżąca	skarżący
Asturyjka	Asturyjczyk
zausznica	zausznik
gotka	got
mizantropka	mizantrop
budapesztanka	budapesztańczyk
Słowaczka	Słowak
kamratka	kamrat
łajdaczka	łajdak
kopaniczanka	kopaniczanin
Cypryjka	Cypryjczyk
interwenientka	interwenient
katatoniczka	katatonik
sprzątaczka	sprzątacz
antyrojalistka	antyrojalista
misjonarka	misjonarz
socjuszka	socjusz
żałobniczka	żałobnik
bankrutka	bankrut
bydgoszczanka	bydgoszczanin
poszukiwana	poszukiwany
sędzia	sędzia
freelancerka	freelancer
biatlonistka	biatlonista
koprzywniczanka	koprzywniczanin
Dżibutka	Dżibutczyk
rybniczanka	rybniczanin
prawosławna	prawosławny
hinduistka	hinduista
flegmatyczka	flegmatyk
kaletniczka	kaletnik
rajfurka	rajfur
akcydensistka	akcydensista
siostrzenica	siostrzeniec
adoratorka	adorator
aferzystka	aferzysta
krzykaczka	krzykacz
grawerka	grawer
larpowiczka	larpowicz
banderówka	banderowiec
żniwiarka	żniwiarz
terrarystka	terrarysta
Drzewianka	Drzewianin
sorabistka	sorabista
demokratka	demokrata
Chakaska	Chakas
woodstockowiczka	woodstockowicz
interpretatorka	interpretator
familiantka	familiant
probabilistka	probabilista
lwica salonowa	lew salonowy
Adygejka	Adygejczyk
madrytka	madrytczyk
wybawicielka	wybawiciel
meteopatka	meteopata
futurystka	futurysta
dyspozytorka	dyspozytor
nowosądeczanka	nowosądeczanin
wskrzesicielka	wskrzesiciel
naukowczyni	naukowiec
dwójkowiczka	dwójkowicz
protokolantka	protokolant
kudowianka	kudowianin
zmywaczka	zmywacz
pomylona	pomylony
mistyfikatorka	mistyfikator
szefowa	szef
budzicielka	budziciel
kochanka	kochanek
modelka	model
Antiguanka	Antiguańczyk
roznosicielka	roznosiciel
autystka	autysta
wieloboistka	wieloboista
reprezentantka	reprezentant
rakoniewiczanka	rakoniewiczanin
egotystka	egotysta
gliwiczanka	gliwiczanin
stenografka	stenograf
bliźniaczka	bliźniak
Turynka	Turyńczyk
egzekutorka	egzekutor
wiślanka	wiślanin
gęsiarka	gęsiarek
koniunkturalistka	koniunkturalista
hrabina	hrabia
półinteligentka	półinteligent
swojaczka	swojak
profesjonalistka	profesjonalista
tekstylna	tekstylny
protetyczka	protetyk
kumpela	kumpel
brodniczanka	brodniczanin
helsinka	helsińczyk
użytkowniczka	użytkownik
świniarka	świniarz
Dagestanka	Dagestańczyk
minimalistka	minimalista
tenisistka	tenisista
agrotechniczka	agrotechnik
wytwórczyni	wytwórca
bezdomna	bezdomny
muzyczka	muzyk
Wenezuelka	Wenezuelczyk
Nubijka	Nubijczyk
trynitarka	trynitarz
Madziarka	Madziar
kochaneczka	kochaneczek
Wilamowianka	Wilamowianin
eurosceptyczka	eurosceptyk
dwójara	dwójarz
posesjonatka	posesjonat
alterglobalistka	alterglobalista
nowa	nowy
Gwinejka	Gwinejczyk
Malijka	Malijczyk
solistka	solista
piesza	pieszy
wadowiczanka	wadowiczanin
moralizatorka	moralizator
zaklikowianka	zaklikowianin
scenarzystka	scenarzysta
młodziczka	młodzik
skrupulantka	skrupulant
antreprenerka	antreprener
bolimowianka	bolimowianin
atenka	ateńczyk
współwłaścicielka	współwłaściciel
małpiszonka	małpiszon
osiemnastolatka	osiemnastolatek
dyżurna ruchu	dyżurny ruchu
konserwatorka	konserwator
obca	obcy
Ewenka	Ewenk
ksenofilka	ksenofil
monogamistka	monogamista
Wielkopolanka	Wielkopolanin
szatniarka	szatniarz
projektodawczyni	projektodawca
Hiszpanka	Hiszpan
babiczanka	babiczanin
turzyca	tur
probantka	probant
inspiratorka	inspirator
nadzorczyni	nadzorca
demiseksualistka	demiseksualista
inicjatorka	inicjator
śpiewaczka	śpiewak
charyzmatyczka	charyzmatyk
triumfatorka	triumfator
służka	sługa
rygorystka	rygorysta
Beotka	Beota
menażerka	menażer
Nowa Ruska	Nowy Ruski
heretyczka	heretyk
hippiska	hippis
lisiczka	lisica
systematyczka	systematyk
chartka	chart
rekordzistka	rekordzista
czarownica	czarownik
szóstoklasistka	szóstoklasista
snowboardzistka	snowboardzista
indianistka	indianista
leszczynianka	leszczynianin
aforystka	aforysta
odbiorczyni	odbiorca
ałmaatka	ałmaatczyk
mormonka	mormon
historyczka	historyk
ochroniarka	ochroniarz
dizajnerka	dizajner
harfiarka	harfiarz
bizantynistka	bizantynista
pietrowiczanka	pietrowiczanin
pionierka	pionier
erotomanka	erotoman
korepetytorka	korepetytor
innowierczyni	innowierca
teściowa	teść
zabugolka	zabugol
pomywaczka	pomywacz
Komoryjka	Komoryjczyk
akompaniatorka	akompaniator
kłodniczanka	kłodniczanin
libiążanka	libiążanin
piątoklasistka	piątoklasista
drobnomieszczanka	drobnomieszczanin
sklepowa	sklepowy
hamburka	hamburczyk
hipokrytka	hipokryta
rysica	ryś
sanitariuszka	sanitariusz
pudliczka	pudel
gloryfikatorka	gloryfikator
bumelantka	bumelant
udawaczka	udawacz
promotorka	promotor
Gwatemalka	Gwatemalczyk
sutenerka	sutener
kalkulatorka	kalkulator
Inkaska	Inkas
poganiaczka	poganiacz
wywiadowczyni	wywiadowca
imitatorka	imitator
Pasztunka	Pasztun
wegetarianka	wegetarianin
powinowata	powinowaty
symulantka	symulant
domokrążczyni	domokrążca
rajczyni	rajca
Babiogórka	Babiogórzec
dokumentarzystka	dokumentarzysta
multimilionerka	multimilioner
Jawajka	Jawajczyk
bułgarystka	bułgarysta
Honduraska	Honduraszczyk
naturalistka	naturalista
poszukiwaczka	poszukiwacz
elfica	elf
obsesjonistka	obsesjonista
niewidoma	niewidomy
zmiennistka	zmiennista
wyrobnica	wyrobnik
fantastka	fantasta
Zapotekijka	Zapotekijczyk
Spartanka	Spartanin
managerka	manager
nieboraczka	nieborak
dyrygentka	dyrygent
gestykulatorka	gestykulator
augustowianka	augustowianin
hellenistka	hellenista
porządnicka	porządnicki
mantuanka	mantuańczyk
bełchatowianka	bełchatowianin
antyglobalistka	antyglobalista
melomanka	meloman
dendrolożka	dendrolog
deistka	deista
podrabiaczka	podrabiacz
ceglarka	ceglarz
rozmówczyni	rozmówca
jasnowidzka	jasnowidz
śpioszka	śpioch
sortowaczka	sortowacz
Zairka	Zairczyk
biwakowiczka	biwakowicz
sprinterka	sprinter
zakonnica	zakonnik
erkaemistka	erkaemista
Libanka	Libańczyk
terapeutka	terapeuta
nowelistka	nowelista
przewodniczka	przewodnik
armatorka	armator
docentka	docent
jeźdźczyni	jeździec
animalistka	animalista
brzuchomówczyni	brzuchomówca
kamieniczniczka	kamienicznik
członkini	członek
współzawodnica	współzawodnik
trapistka	trapista
alarmistka	alarmista
najemnica	najemnik
bibliomanka	biblioman
opluwaczka	opluwacz
chora	chory
okazicielka	okaziciel
dowódczyni	dowódca
wizjonerka	wizjoner
cwaniaczka	cwaniak
anglikanka	anglikanin
Fidżijka	Fidżijczyk
rumunka	rumun
terminatorka	terminator
pakowaczka	pakowacz
praprawnuczka	praprawnuk
mała	mały
ciapatka	ciapat
bratanka	bratanek
rysowniczka	rysownik
hobbystka	hobbysta
bufetowa	bufetowy
ironistka	ironista
krakowianka	krakowianin
pośrednica	pośrednik
Kamerunka	Kameruńczyk
Jamajka	Jamajczyk
paryżanka	paryżanin
scenografka	scenograf
komorniczanka	komorniczanin
fletnistka	fletnista
dysgraficzka	dysgrafik
carowa	car
Jordanka	Jordańczyk
chamka	cham
zbieraczka	zbieracz
domownica	domownik
dysertantka	dysertant
oleśniczanka	oleśniczanin
kolporterka	kolporter
bałwanica	bałwan
beduinka	beduin
zwyciężczyni	zwycięzca
rugbistka	rugbista
przedstawicielka handlowa	przedstawiciel handlowy
saksofonistka	saksofonista
Syryjka	Syryjczyk
solipsystka	solipsysta
zastępowa	zastępowy
sokistka	sokista
kolesiana	koleś
chasydka	chasyd
suflerka	sufler
aferałka	aferał
wychowanka	wychowanek
filipowianka	filipowianin
samolubka	samolub
bobsleistka	bobsleista
championka	champion
ekscentryczka	ekscentryk
prorokini	prorok
desperatka	desperat
częstochowianka	częstochowianin
Aszkenazka	Aszkenazyjczyk
demonka	demon
koncertantka	koncertant
łotrzyca	łotr
bywalczyni	bywalec
uniwersalistka	uniwersalista
masażystka	masażysta
Singapurka	Singapurczyk
laktoowowegetarianka	laktoowowegetarianin
pianistka	pianista
chełmnianka	chełmnianin
Grenadyjka	Grenadyjczyk
błonianka	błonianin
dyplomatka	dyplomata
współrodaczka	współrodak
auletka	auleta
marnotrawczyni	marnotrawca
wagarowiczka	wagarowicz
kolesiówa	koleś
telepatka	telepata
uzurpatorka	uzurpator
chrzestna	chrzestny
humorystka	humorysta
przewodnicząca	przewodniczący
lektorka	lektor
chora psychicznie	chory psychicznie
potrzebująca	potrzebujący
psorka	psor
Aramejka	Aramejczyk
rugbystka	rugbysta
błogosławiona	błogosławiony
monarchini	monarcha
moralistka	moralista
magistrantka	magistrant
Macedonka	Macedończyk
Peruwianka	Peruwianin
osadniczka	osadnik
szelmutka	szelma
tytanka	tytan
żabniczanka	żabniczanin
inspektorka	inspektor
zuchenka	zuch
karykaturzystka	karykaturzysta
samobójczyni	samobójca
mężyna	mąż
kasjerka	kasjer
kapucynka	kapucyn
Watykanka	Watykańczyk
bogatynianka	bogatynianin
pastuszka	pastuch
diuszesa	diuk
aliantka	aliant
cyganicha	cygan
mulica	muł
nieboszczka	nieboszczyk
skąpica	skąpiec
pisarka	pisarz
nabywczyni	nabywca
biznesmenka	biznesmen
lingwistka	lingwista
krewniaczka	krewniak
prawaczka	prawak
megalomanka	megaloman
jedynaczka	jedynak
wyzyskiwaczka	wyzyskiwacz
dekabrystka	dekabrysta
koziarka	koziarz
dwulatka	dwulatek
rowerzystka	rowerzysta
skawinianka	skawinianin
burżujka	burżuj
zakupoholiczka	zakupoholik
brzeżanka	brzeżanin
rezerwistka	rezerwista
masochistka	masochista
dywaniarka	dywaniarz
egalitarystka	egalitarysta
żydówka	żyd
orantka	orant
dogmatyczka	dogmatyk
absolwentka	absolwent
bocianica	bocian
Chilijka	Chilijczyk
despotka	despota
kierowniczka	kierownik
demonstratorka	demonstrator
buddystka	buddysta
gapowiczka	gapowicz
posiadaczka	posiadacz
poetessa	poeta
wyrazicielka	wyraziciel
proletariuszka	proletariusz
malkontentka	malkontent
Ghanijka	Ghańczyk
kołtunka	kołtun
spryciara	spryciarz
kolbuszowianka	kolbuszowianin
lodziarka	lodziarz
badaczka	badacz
kryminalistka	kryminalista
nieprzyjaciółka	nieprzyjaciel
Jankeska	Jankes
Irlandka	Irlandczyk
striptizerka	striptizer
albinoska	albinos
równolatka	równolatek
krawcowa	krawiec
piromanka	piroman
berlinka	berlińczyk
celniczka	celnik
saneczkarka	saneczkarz
motorowerzystka	motorowerzysta
kuma	kum
Islandka	Islandczyk
ceperka	ceper
krakuska	krakus
pozerka	pozer
muzułmanka	muzułmanin
służbistka	służbista
motornicza	motorniczy
heteroseksualistka	heteroseksualista
włókniarka	włókniarz
chałupnica	chałupnik
aktywistka	aktywista
unionistka	unionista
dramatopisarka	dramatopisarz
Helwetka	Helweta
Malawijka	Malawijczyk
kadrowiczka	kadrowicz
Iranka	Irańczyk
neonazistka	neonazista
mecenaska	mecenas
jaworznianka	jaworznianin
szablistka	szablista
bejsbolistka	bejsbolista
gorylica	goryl
mediolanka	mediolańczyk
Paragwajka	Paragwajczyk
sintoistka	sintoista
prelegentka	prelegent
reżyserka	reżyser
Dolnoślązaczka	Dolnoślązak
komunistka	komunista
mandolinistka	mandolinista
wicemistrzyni	wicemistrz
stróżka	stróż
Teksanka	Teksańczyk
Galisyjka	Galisyjczyk
niewolniczka	niewolnik
cyklistka	cyklista
narciarka dowolna	narciarz dowolny
sztubaczka	sztubak
prawnuk	prawnuczka
europarlamentarzystka	europarlamentarzysta
szajbuska	szajbus
współuczestniczka	współuczestnik
Sotyjka	Sotyjczyk
protektorka	protektor
anarchistka	anarchista
paskudnica	paskudnik
gorzelniczka	gorzelnik
epileptyczka	epileptyk
szowinistka	szowinista
behawiorystka	behawiorysta
arianka	arianin
deponentka	deponent
boginka	bożek
żebraczka	żebrak
biofizyczka	biofizyk
finansistka	finansista
kolejarka	kolejarz
radkowianka	radkowianin
rudzianka	rudzianin
rzeczniczka prasowa	rzecznik prasowy
rawianka	rawianin
brygadierka	brygadier
czempionka	czempion
kleptomanka	kleptoman
rudnianka	rudnianin
andorka	andorczyk
Afroamerykanka	Afroamerykanin
literniczka	liternik
proepidemiczka	proepidemik
potwora	potwór
ogrodniczka	ogrodnik
Boliwijka	Boliwijczyk
rzeszowianka	rzeszowianin
italianistka	italianista
ojcobójczyni	ojcobójca
koleżanka po fachu	kolega po fachu
koszalinianka	koszalinianin
Marsjanka	Marsjanin
Kaszubka	Kaszub
młynarka	młynarz
kornecistka	kornecista
animatorka	animator
biesiadniczka	biesiadnik
filutka	filut
krowiarka	krowiarz
Tongijka	Tongijczyk
baranowianka	baranowianin
śmierdziucha	śmierdziuch
sceptyczka	sceptyk
wicedyrektorka	wicedyrektor
kąkolewianka	kąkolewianin
varsavianistka	varsavianista
językoznawczyni	językoznawca
Huronka	Huron
felietonistka	felietonista
dębiczanka	dębiczanin
tańcownica	tańcownik
meksykanka	meksykanin
wspólniczka	wspólnik
Kuszytka	Kuszyta
imienniczka	imiennik
biolożka	biolog
heteryczka	heteryk
Bizantyjka	Bizantyjczyk
Litwinka	Litwin
katorżniczka	katorżnik
altruistka	altruista
wasalka	wasal
bezrobotna	bezrobotny
partykularystka	partykularysta
koszykarka	koszykarz
mistrzyni	mistrz
Ruandyjka	Ruandyjczyk
komiczka	komik
kustoszka	kustosz
Słowenka	Słoweniec
cudzołożnica	cudzołożnik
Aryjka	Aryjczyk
wrotkarka	wrotkarz
Austriaczka	Austriak
Katarka	Katarczyk
mandatariuszka	mandatariusz
Kirgizka	Kirgiz
mopsica	mops
Persjanka	Pers
romanistka	romanista
współregentka	współregent
atomistka	atomista
niedźwiedzica	niedźwiedź
znawczyni	znawca
równiaczka	równiak
Irakijka	Irakijczyk
bychawianka	bychawianin
tyranka	tyran
kijowianka	kijowianin
oratorka	orator
sędzina	sędzia
antyfeministka	antyfeminista
wartowniczka	wartownik
elegantka	elegant
Kuwejtka	Kuwejtczyk
Czarnogórzanka	Czarnogórzec
Bahrajnka	Bahrajńczyk
graficzka	grafik
organizatorka	organizator
skrzypaczka	skrzypek
sybarytka	sybaryta
Czirokezka	Czirokez
winowajczyni	winowajca
Kurdyjka	Kurd
współbiesiadniczka	współbiesiadnik
wielunianka	wielunianin
aspirantka	aspirant
gorliczanka	gorliczanin
lichwiarka	lichwiarz
Abisynka	Abisyńczyk
weterynarka	weterynarz
niewdzięcznica	niewdzięcznik
jejmość	jegomość
malwersantka	malwersant
Laosyjka	Laosyjczyk
lyonka	lyończyk
fotografka	fotograf
poliglotka	poliglota
wybranka	wybranek
kłamczucha	kłamczuch
przeorysza	przeor
naczelna	naczelny
literatka	literat
laureatka	laureat
Papuaska	Papuas
solenizantka	solenizant
wspominkarka	wspominkarz
prószkowianka	prószkowianin
owolaktarianka	owolaktarianin
Rusinka	Rusin
kretynka	kretyn
nuworyszka	nuworysz
reporterka	reporter
jastrowianka	jastrowianin
smarkata	smarkacz
aplikantka	aplikant
radna	radny
bułana	bułany
dentystka	dentysta
urlopowiczka	urlopowicz
smerfetka	smerf
Japonka	Japończyk
statystka	statysta
morderczyni	morderca
klubowiczka	klubowicz
radykalistka	radykalista
niepołomiczanka	niepołomiczanin
Zuluska	Zulus
rybiarka	rybiarz
utylitarystka	utylitarysta
barcelonka	barcelończyk
eksploatatorka	eksploatator
upiornica	upiór
Norweżka	Norweg
carewna	carewicz
świętoszka	świętoszek
karmelitanka	karmelita
fizjoterapeutka	fizjoterapeuta
bułanka	bułanek
brygadzistka	brygadzista
kotka	kot
aranżerka	aranżer
dziadówka	dziad
ciastkarka	ciastkarz
autyczka	autyk
Pendżabka	Pendżab
streetworkerka	streetworker
wrona	wrony
fundatorka	fundator
jamniczka	jamnik
hipnotyzerka	hipnotyzer
kuglarka	kuglarz
couchsurferka	couchsurfer
instagramerka	instagramer
komentatorka	komentator
słomiana wdowa	słomiany wdowiec
żywczanka	żywczanin
Ewenkijka	Ewenk
sprawczyni	sprawca
kreatorka	kreator
zapaśniczka	zapaśnik
spirytualistka	spirytualista
wariatka	wariat
dekoratorka wnętrz	dekorator wnętrz
jogini	jogin
melancholiczka	melancholik
Bułgarka	Bułgar
słupszczanka	słupszczanin
imperatorowa	imperator
Kubanka	Kubańczyk
franciszkanka	franciszkanin
akcjonariuszka	akcjonariusz
Amerykanka	Amerykanin
swatowa	swat
luzaczka	luzak
koneserka	koneser
drużka	drużba
dublerka	dubler
kwestarka	kwestarz
koteczka	koteczek
gilowiczanka	gilowiczanin
kosmitka	kosmita
sławkowianka	sławkowianin
służebniczka	służebnik
hultajka	hultaj
gołąbka	gołąb
bat micwa	bar micwa
cyganeczka	cyganek
judoczka	judok
radomianka	radomianin
wilamowiczanka	wilamowiczanin
wartkowiczanka	wartkowiczanin
akademiczka	akademik
półfinalistka	półfinalista
autobiografka	autobiograf
admiratorka	admirator
trójboistka	trójboista
zawistnica	zawistnik
Palestynka	Palestyńczyk
mizogamistka	mizogamista
Omanka	Omańczyk
kundmanka	kundman
Niderlandka	Niderlandczyk
Skandynawka	Skandynaw
egzystencjalistka	egzystencjalista
dwunastolatka	dwunastolatek
ćwierćinteligentka	ćwierćinteligent
ważniaczka	ważniak
dewiatka	dewiat
wszetecznica	wszetecznik
jezuitka	jezuita
królowa	król
biseksualistka	biseksualista
licytatorka	licytator
Lakonka	Lakończyk
spanielka	spaniel
prudniczanka	prudniczanin
szefowa kuchni	szef kuchni
Rwandyjka	Rwandyjczyk
patronka	patron
Kartaginka	Kartagińczyk
świętokradczyni	świętokradca
nowotarżanka	nowotarżanin
cyzelatorka	cyzelator
bałwochwalczyni	bałwochwalca
oślica	osioł
spacerowiczka	spacerowicz
Ugandyjka	Ugandyjczyk
Dunka	Duńczyk
antyterrorystka	antyterrorysta
czwartoklasistka	czwartoklasista
harcerka	harcerz
wędkarka	wędkarz
konduktorka	konduktor
dydaktyczka	dydaktyk
gostyninianka	gostyninianin
młódka	młodzian
Banglijka	Banglijczyk
pijana	pijany
teatromanka	teatroman
trockistka	trockista
zwiastunka	zwiastun
następczyni	następca
kolędniczka	kolędnik
stróżówka	stróż
ankietowana	ankietowany
amsterdamka	amsterdamczyk
stulatka	stulatek
łakomczucha	łakomczuch
tajniaczka	tajniak
Fryzyjka	Fryz
pustelnica	pustelnik
towarzyszka	towarzysz
podpalaczka	podpalacz
papistka	papista
maniaczka	maniak
pozorantka	pozorant
depozytariuszka	depozytariusz
biologica	biolog
gorzowianka	gorzowianin
Podhalanka	Podhalanin
chuliganka	chuligan
Jakutka	Jakut
antykwariuszka	antykwariusz
kurierka	kurier
wikipedystka	wikipedysta
faszystka	faszysta
nastolatka	nastolatek
zbrodniarka	zbrodniarz
socjopatka	socjopata
altystka	altysta
czelistka	czelista
funkcjonariuszka	funkcjonariusz
dyplomantka	dyplomant
piwniczanka	piwniczanin
nabożnisia	nabożniś
Hercegowinka	Hercegowińczyk
narzeczona	narzeczony
metodystka	metodysta
kujonka	kujon
komornica	komornik
starucha	staruch
Francuzka	Francuz
krewna	krewny
bejrutka	bejrutczyk
ekspedientka	ekspedient
Nowa Rosjanka	Nowy Rosjanin
współwięźniarka	współwięzień
bibliotekoznawczyni	bibliotekoznawca
świadkowa	świadek
pięćdziesięciolatka	pięćdziesięciolatek
mataczka	matacz
blokierka	blokier
Mikronezyjka	Mikronezyjczyk
archiwistka	archiwista
Tahitanka	Tahitańczyk
konstruktorka	konstruktor
psychoterapeutka	psychoterapeuta
biblistka	biblista
piwoszka	piwosz
imprezowiczka	imprezowicz
bieczanka	bieczanin
Żydówka	Żyd
jejmościanka	jegomość
Żmujdzinka	Żmujdzin
malanowianka	malanowianin
gostynianka	gostynianin
Egipcjanka	Egipcjanin
petentka	petent
antykomunistka	antykomunista
astronomka	astronom
mińszczanka	mińszczanin
wirtuozka	wirtuoz
ewangelizatorka	ewangelizator
dobrodziejka	dobrodziej
odtwórczyni	odtwórca
spryciula	spryciula
świebodziczanka	świebodziczanin
zatrudniona	zatrudniony
szpanerka	szpaner
fighterka	fighter
ekranizatorka	ekranizator
antysemitka	antysemita
polonistka	polonista
lubieżnica	lubieżnik
Gambijka	Gambijczyk
notariuszka	notariusz
tokijka	tokijczyk
hipochondryczka	hipochondryk
indyczka	indyk
Nigerka	Nigerczyk
zdobywczyni	zdobywca
konkubina	konkubin
Gruzinka	Gruzin
prezenterka	prezenter
bioenergoterapeutka	bioenergoterapeuta
lizbonka	lizbończyk
potomkini	potomek
freeganka	freeganin
introligatorka	introligator
oprowadzaczka	oprowadzacz
krzczonowianka	krzczonowianin
lekomanka	lekoman
werblistka	werblista
emisariuszka	emisariusz
kapryśnica	kapryśnik
zgierzanka	zgierzanin
nikczemnica	nikczemnik
Wołynianka	Wołynianin
przechlewianka	przechlewianin
jaworzanka	jaworzanin
rozdawczyni	rozdawca
kontynuatorka	kontynuator
księżna	książę
oskarżycielka posiłkowa	oskarżyciel posiłkowy
rewidentka	rewident
Indonezyjka	Indonezyjczyk
bajarka	bajarz
uczestniczka	uczestnik
markowianka	markowianin
współtwórczyni	współtwórca
karciara	karciarz
Libijka	Libijczyk
Luksemburka	Luksemburczyk
brzezinianka	brzezinianin
pejzażystka	pejzażysta
farmaceutka	farmaceuta
Czeczenka	Czeczen
satanistka	satanista
aptekarka	aptekarz
szczęściara	szczęściarz
czatowniczka	czatownik
jastrzębianka	jastrzębianin
rekwizytorka	rekwizytor
Kazaszka	Kazach
pełnomocniczka	pełnomocnik
poznanianka	poznanianin
chamówa	cham
Słowinka	Słowiniec
magnatka	magnat
garbuska	garbus
belferka	belfer
gwarantka	gwarant
doboszka	dobosz
współpracowniczka	współpracownik
dzierżawczyni	dzierżawca
sąsiadka	sąsiad
bursztynniczka	bursztynnik
penitentka	penitent
stręczycielka	stręczyciel
Bośniaczka	Bośniak
przewodnica	przewodnik
gdańszczanka	gdańszczanin
manipulantka	manipulant
bojówkarka	bojówkarz
humanistka	humanista
złotowianka	złotowianin
stewardesa	steward
łyżwiarka szybka	łyżwiarz szybki
przełożona	przełożony
kuplerka	kupler
puzonistka	puzonista
Lechitka	Lechita
koregentka	koregent
Kampuczanka	Kampuczanin
Hebrajka	Hebrajczyk
autochtonka	autochton
barcinianka	barcinianin
Pakistanka	Pakistańczyk
chytruska	chytrus
Birmanka	Birmańczyk
kunktatorka	kunktator
defetystka	defetysta
miłośniczka	miłośnik
prezydentka	prezydent
Toskanka	Toskańczyk
blondynka	blondyn
schizofreniczka	schizofrenik
Senegalka	Senegalczyk
adherentka	adherent
filolożka	filolog
stelmaszka	stelmach
uwodzicielka	uwodziciel
spekulantka	spekulant
obłudnica	obłudnik
maruderka	maruder
wrocławianka	wrocławianin
badmintonistka	badmintonista
plastyczka	plastyk
jubilerka	jubiler
wazeliniara	wazeliniarz
racjonalizatorka	racjonalizator
żartownisia	żartowniś
Frygijka	Fryg
łachmaniara	łachmaniarz
heroska	heros
rzymskokatoliczka	rzymskokatolik
Karaczajka	Karaczaj
paranoiczka	paranoik
shintoistka	shintoista
Kostarykanka	Kostarykanin
głogowianka	głogowianin
złośnica	złośnik
posłannica	posłannik
uciekinierka	uciekinier
krakauerka	krakauer
figlarka	figlarz
kameralistka	kameralista
miejscowa	miejscowy
praderka	praderek
purytanka	purytanin
Etiopka	Etiopczyk
prawniczka	prawnik
Ekwadorka	Ekwadorczyk
żabkarka	żabkarz
Monakijka	Monakijczyk
doktrynerka	doktryner
Nigeryjka	Nigeryjczyk
hobbistka	hobbista
wągrowiczanka	wągrowiczanin
szachistka	szachista
wykonawczyni	wykonawca
krośniczanka	krośniczanin
zazdrośnica	zazdrośnik
wilnianka	wilnianin
dysydentka	dysydent
wysłanniczka	wysłannik
mitomanka	mitoman
melodeklamatorka	melodeklamator
obieżyświatka	obieżyświat
Tasmanka	Tasmańczyk
rybaczka	rybak
sanoczanka	sanoczanin
Salwadorka	Salwadorczyk
czchowianka	czchowianin
tułaczka	tułacz
szczyglica	szczygieł
Łemkynia	Łemko
Lesbijka	Lesbijczyk
starosądeczanka	starosądeczanin
zgrywuska	zgrywus
Sowietka	Sowiet
marsylka	marsylczyk
himalaistka	himalaista
Prusaczka	Prusak
Azjatka	Azjata
adwentystka	adwentysta
falangistka	falangista
biografka	biograf
edytorka	edytor
strażniczka	strażnik
Galijka	Gal
piłkarka	piłkarz
brzeszczanka	brzeszczanin
fryzjerka	fryzjer
wiceprezeska	wiceprezes
małolata	małolat
alpinistka	alpinista
trzpiotka	trzpiot
pięciolatka	pięciolatek
rekrutka	rekrut
spadkodawczyni	spadkodawca
siatkarka	siatkarz
dworzanka	dworzanin
handlarka	handlarz
kostiumerka	kostiumer
neurasteniczka	neurastenik
sensatka	sensat
alpejka	alpejczyk
Karaitka	Karaita
znajoma	znajomy
laburzystka	laburzysta
konferansjerka	konferansjer
doliniarka	doliniarz
szylkretka	szylkret
Haitanka	Haitańczyk
zaproszona	zaproszony
oazowiczka	oazowicz
agitatorka	agitator
Dalmatka	Dalmata
lokatorka	lokator
bibułkarka	bibułkarz
Kastylijka	Kastylijczyk
keyboardzistka	keyboardzista
Nowojorczanka	Nowojorczyk
znajoma z widzenia	znajomy z widzenia
maronitka	maronita
wizażystka	wizażysta
pryncypialistka	pryncypialista
łuczniczka	łucznik
kielczanka	kielczanin
Maoryska	Maorys
białogardzianka	białogardzianin
